Date,Charger Type,Charges per Day,Energy Delivered (kWh),Revenue per Session (₹),Avg Time per Charge (min),Charger Utilization Rate (%),Energy Source,% Renewable Energy Used,CO₂ Saved (kg),ICE Kilometers Avoided,Fuel Avoided (liters),Carbon Offset Potential (tonnes),Equivalent Trees Planted
1/1/2025,Level 1,28,365.95,37.64,38,95,Solar,72,197.73,1581.53,105.44,0.2,9.08
1/2/2025,Level 1,46,436.89,28.5,58,100,Grid,16,210.58,1450.58,96.71,0.21,9.67
1/3/2025,DC Fast,42,286.29,41.75,28,52,Grid,2,123.74,913.64,60.91,0.12,5.68
1/4/2025,Portable Gen,32,365.51,31,27,59,Solar,86,146.77,1707.92,113.86,0.15,6.74
1/5/2025,Portable Gen,39,428.95,19.2,42,77,Grid,8,290.03,1838.08,122.54,0.29,13.32
1/6/2025,Portable Gen,29,229.35,47.77,54,65,Grid,30,110.84,915.86,61.06,0.11,5.09
1/7/2025,Portable Gen,27,229.86,31.14,35,51,Solar,15,152.36,923.03,61.54,0.15,7
1/8/2025,Level 2,40,584.03,45.42,55,63,Grid,21,347.24,2672.63,178.18,0.35,15.95
1/9/2025,Portable Gen,13,105.98,22.05,39,74,Grid,28,62.43,527.22,35.15,0.06,2.87
1/10/2025,DC Fast,34,454.57,25.24,23,81,Grid,28,213.88,1785.64,119.04,0.21,9.82
1/11/2025,Level 2,46,250.13,40.39,36,80,Grid,10,158.34,1197.72,79.85,0.16,7.27
1/12/2025,DC Fast,18,217.83,34.28,41,60,Grid,2,115.1,978.4,65.23,0.12,5.29
1/13/2025,DC Fast,26,296.36,21.74,59,53,Grid,18,139.99,1401.81,93.45,0.14,6.43
1/14/2025,Wall Box,46,550.72,40.64,36,95,Solar,64,233.33,2194.11,146.27,0.23,10.72
1/15/2025,Level 1,31,214.14,27.66,48,92,Grid,5,96.88,714.1,47.61,0.1,4.45
1/16/2025,Level 2,42,502.38,31.02,25,88,Grid,9,257,1977.08,131.81,0.26,11.81
1/17/2025,Level 2,10,77.45,47.32,20,77,Solar,87,51.31,342.84,22.86,0.05,2.36
1/18/2025,DC Fast,47,342.12,44.85,49,60,Grid,2,198.28,1589.28,105.95,0.2,9.11
1/19/2025,Level 2,33,337.54,13.6,21,98,Grid,26,180.93,1335.42,89.03,0.18,8.31
1/20/2025,Wall Box,41,365.52,34.8,52,68,Solar,99,174.14,1176.43,78.43,0.17,8
1/21/2025,DC Fast,39,421.03,35.62,23,61,Grid,20,236.95,1489.28,99.29,0.24,10.88
1/22/2025,Level 2,40,461.42,23.63,53,77,Grid,13,240,1661.48,110.77,0.24,11.02
1/23/2025,Level 1,14,118.62,26.62,60,70,Grid,4,70.99,476.37,31.76,0.07,3.26
1/24/2025,Level 2,49,401.45,31.94,55,71,Grid,20,253.48,1849.24,123.28,0.25,11.64
1/25/2025,Level 2,24,280.87,46.63,53,83,Grid,18,171.59,1020.97,68.06,0.17,7.88
1/26/2025,DC Fast,30,445.61,13.68,34,70,Grid,10,194.99,1348,89.87,0.19,8.96
1/27/2025,Wall Box,45,592.17,11.58,59,87,Solar,85,358.11,2935.21,195.68,0.36,16.45
1/28/2025,DC Fast,22,206.37,29.43,44,53,Grid,7,113.25,790.29,52.69,0.11,5.2
1/29/2025,Wall Box,38,260.92,22.51,57,69,Grid,8,144.16,1079.86,71.99,0.14,6.62
1/30/2025,Level 2,19,153.63,33.09,55,71,Solar,23,63.73,719.79,47.99,0.06,2.93
1/31/2025,Level 1,32,206.29,36.98,37,71,Grid,19,117.81,780.6,52.04,0.12,5.41
2/1/2025,Portable Gen,33,466.58,26.77,31,100,Grid,1,224.79,2166.51,144.43,0.22,10.33
2/2/2025,DC Fast,29,290.96,45.73,25,63,Grid,28,199.75,954.57,63.64,0.2,9.18
2/3/2025,Portable Gen,30,193.8,27.21,29,63,Grid,1,133.61,671.6,44.77,0.13,6.14
2/4/2025,DC Fast,22,113.02,44.39,29,61,Grid,15,57.64,461.62,30.77,0.06,2.65
2/5/2025,Level 1,15,77.53,33.67,50,63,Grid,23,53.45,382.84,25.52,0.05,2.46
2/6/2025,DC Fast,46,652.69,24.51,40,78,Grid,23,397.58,2094.54,139.64,0.4,18.26
2/7/2025,Level 2,35,435.54,14.66,45,63,Solar,81,251.83,1871.9,124.79,0.25,11.57
2/8/2025,Level 2,11,153.5,12.56,54,65,Grid,27,69.92,746.96,49.8,0.07,3.21
2/9/2025,DC Fast,20,186.51,21.79,27,100,Grid,26,76.22,750.14,50.01,0.08,3.5
2/10/2025,Portable Gen,8,87.93,45.06,32,83,Grid,17,53.47,399.6,26.64,0.05,2.46
2/11/2025,Level 1,21,218.1,13.2,46,56,Solar,90,93.34,880.63,58.71,0.09,4.29
2/12/2025,Level 1,13,151.1,25.16,46,82,Grid,16,95.86,742.28,49.49,0.1,4.4
2/13/2025,DC Fast,42,478.87,24.86,24,99,Grid,7,221.74,1769.14,117.94,0.22,10.19
2/14/2025,Wall Box,24,143.07,43.73,54,65,Solar,50,75.09,629.01,41.93,0.08,3.45
2/15/2025,Level 1,38,248.1,22.09,22,80,Grid,25,129.41,969.06,64.6,0.13,5.94
2/16/2025,Level 1,22,200.37,11.66,22,71,Grid,4,136.53,756.16,50.41,0.14,6.27
2/17/2025,Portable Gen,22,165.02,45.44,38,86,Grid,27,72.97,730.98,48.73,0.07,3.35
2/18/2025,Wall Box,12,159.15,23.09,52,55,Grid,21,67.67,724.68,48.31,0.07,3.11
2/19/2025,DC Fast,45,450.02,38.92,53,93,Solar,17,213.05,2104.79,140.32,0.21,9.79
2/20/2025,Level 2,28,220.9,19.82,49,93,Solar,63,127.75,829.9,55.33,0.13,5.87
2/21/2025,Level 2,41,610.14,36.03,20,99,Grid,20,277.64,2775.71,185.05,0.28,12.75
2/22/2025,Portable Gen,50,273.74,30.9,46,52,Solar,73,124.38,1100.71,73.38,0.12,5.71
2/23/2025,Level 2,22,125.73,44.79,56,62,Grid,20,75.67,563.98,37.6,0.08,3.48
2/24/2025,Level 1,38,341.17,49.75,50,80,Grid,8,205.03,1061.34,70.76,0.21,9.42
2/25/2025,Portable Gen,41,233.14,33.45,55,67,Grid,18,109.72,1161.69,77.45,0.11,5.04
2/26/2025,Portable Gen,20,179.15,18.72,28,73,Solar,13,121.02,757.1,50.47,0.12,5.56
2/27/2025,Wall Box,26,206.26,31.02,27,56,Grid,2,102.94,863.11,57.54,0.1,4.73
2/28/2025,Level 1,14,194.88,42.72,39,96,Grid,4,86.7,688.43,45.9,0.09,3.98
3/1/2025,DC Fast,19,242.1,30.68,53,82,Grid,30,122.31,868.45,57.9,0.12,5.62
3/2/2025,Wall Box,25,266.86,10.21,48,97,Solar,60,109.6,898.85,59.92,0.11,5.03
3/3/2025,Wall Box,17,177.71,16.38,60,72,Solar,27,87.94,775.68,51.71,0.09,4.04
3/4/2025,Level 2,8,64.13,21.94,46,68,Grid,7,31.91,314.72,20.98,0.03,1.47
3/5/2025,DC Fast,10,73.65,36.84,41,91,Solar,75,51.1,267.62,17.84,0.05,2.35
3/6/2025,Portable Gen,27,333.87,34.32,45,86,Grid,23,199.61,1483.17,98.88,0.2,9.17
3/7/2025,Level 2,17,138.91,48.5,50,58,Grid,13,80.06,468.68,31.25,0.08,3.68
3/8/2025,Level 1,20,275.13,15.57,33,98,Grid,2,164.36,1224.18,81.61,0.16,7.55
3/9/2025,Portable Gen,24,300.23,30.72,39,50,Grid,20,143.98,1106.7,73.78,0.14,6.61
3/10/2025,DC Fast,43,291.78,49.65,48,100,Grid,29,135.73,1132.89,75.53,0.14,6.23
3/11/2025,Portable Gen,14,204.58,35.06,50,97,Solar,64,124.93,753.31,50.22,0.12,5.74
3/12/2025,Level 1,43,440.19,29.71,30,100,Grid,19,295.82,1680.55,112.04,0.3,13.59
3/13/2025,Wall Box,10,65.66,37.97,25,78,Grid,11,37.01,249.18,16.61,0.04,1.7
3/14/2025,Level 1,20,211.34,14.5,58,86,Grid,29,116.38,897.56,59.84,0.12,5.35
3/15/2025,Portable Gen,18,256.53,34.96,37,57,Grid,15,176.45,987.71,65.85,0.18,8.11
3/16/2025,Level 1,16,103.05,31.44,29,60,Solar,33,62.26,402.46,26.83,0.06,2.86
3/17/2025,Level 1,22,163.12,14.78,21,80,Grid,20,86.14,523.68,34.91,0.09,3.96
3/18/2025,Level 1,45,604.32,20.33,36,76,Grid,15,277.42,2998.66,199.91,0.28,12.74
3/19/2025,Level 1,18,205.87,15.59,40,77,Grid,28,131.29,823.12,54.87,0.13,6.03
3/20/2025,Level 2,16,190.1,47.41,40,63,Grid,12,126.56,680.5,45.37,0.13,5.81
3/21/2025,Wall Box,22,130.2,13.04,54,98,Grid,10,80.55,454.42,30.29,0.08,3.7
3/22/2025,Portable Gen,34,387.58,14.27,27,75,Solar,67,260.59,1273.52,84.9,0.26,11.97
3/23/2025,Portable Gen,17,170.83,17.35,53,57,Grid,14,99.98,785.36,52.36,0.1,4.59
3/24/2025,Wall Box,5,65.41,20.49,25,52,Grid,2,44.96,216.5,14.43,0.04,2.07
3/25/2025,Portable Gen,20,163.87,38.61,30,98,Solar,69,77.33,595.22,39.68,0.08,3.55
3/26/2025,Portable Gen,16,116.31,28.76,49,94,Solar,64,60.46,390.61,26.04,0.06,2.78
3/27/2025,DC Fast,17,148.36,46.23,30,91,Grid,0,60.84,545.16,36.34,0.06,2.79
3/28/2025,Level 2,44,630.79,14.52,56,72,Grid,1,412.57,2945.55,196.37,0.41,18.95
3/29/2025,Level 1,38,481.15,38.1,38,61,Grid,2,268.48,2021.21,134.75,0.27,12.33
3/30/2025,Level 1,16,172.4,24.92,31,55,Solar,50,81.64,577.68,38.51,0.08,3.75
3/31/2025,Level 2,27,370.61,26.43,52,68,Grid,4,189.96,1615.82,107.72,0.19,8.73
4/1/2025,Level 2,33,355.31,44.57,26,54,Solar,57,196.72,1697.39,113.16,0.2,9.04
4/2/2025,Wall Box,28,149.84,46.21,22,83,Solar,62,72.44,563.39,37.56,0.07,3.33
4/3/2025,DC Fast,6,83.22,44.53,31,74,Grid,2,45.54,283.42,18.89,0.05,2.09
4/4/2025,Portable Gen,18,123.93,36.9,39,80,Grid,27,71.9,534.38,35.63,0.07,3.3
4/5/2025,Level 1,8,90.3,10.07,37,97,Grid,17,44.4,414.39,27.63,0.04,2.04
4/6/2025,Portable Gen,15,87.13,16.36,25,94,Solar,43,35.04,327.94,21.86,0.04,1.61
4/7/2025,Level 1,31,239.98,44.45,53,81,Grid,15,165.42,828.64,55.24,0.17,7.6
4/8/2025,Level 1,7,79.13,33.61,25,62,Grid,4,41.59,302.66,20.18,0.04,1.91
4/9/2025,DC Fast,18,93.1,19.78,36,64,Grid,11,47.58,355.63,23.71,0.05,2.19
4/10/2025,DC Fast,50,413.16,12.34,41,98,Solar,56,268.7,1838.67,122.58,0.27,12.34
4/11/2025,DC Fast,47,340.53,45.28,32,81,Solar,77,179.17,1240.77,82.72,0.18,8.23
4/12/2025,Portable Gen,18,116.13,28.01,24,97,Grid,1,80.96,491.75,32.78,0.08,3.72
4/13/2025,Level 1,33,256.06,13.38,31,92,Grid,11,103.63,1057.89,70.53,0.1,4.76
4/14/2025,Portable Gen,50,644.89,40.65,25,55,Grid,13,317.26,2464.89,164.33,0.32,14.57
4/15/2025,Level 1,34,465.6,12.51,44,54,Solar,21,302.17,1531.44,102.1,0.3,13.88
4/16/2025,Level 1,46,358.89,15.7,30,56,Grid,18,199.84,1679.63,111.98,0.2,9.18
4/17/2025,Portable Gen,16,155.65,11.18,55,77,Grid,20,64.15,595.46,39.7,0.06,2.95
4/18/2025,Wall Box,45,354,24.53,52,71,Solar,39,159.91,1486.79,99.12,0.16,7.35
4/19/2025,Level 2,33,373.04,41.96,58,61,Grid,0,258.21,1138.46,75.9,0.26,11.86
4/20/2025,Portable Gen,23,325.59,14.91,29,58,Solar,85,195.99,1512.4,100.83,0.2,9
4/21/2025,Wall Box,41,370.11,13.13,55,58,Grid,7,253.96,1613.53,107.57,0.25,11.67
4/22/2025,Portable Gen,17,97.07,48.17,50,90,Grid,29,43.1,438.04,29.2,0.04,1.98
4/23/2025,Wall Box,24,142.17,25.65,42,59,Solar,76,93.9,500.54,33.37,0.09,4.31
4/24/2025,Level 1,37,270.2,44.13,43,98,Grid,17,134.73,872.35,58.16,0.13,6.19
4/25/2025,DC Fast,18,137.52,35.43,57,65,Grid,17,79.28,507.21,33.81,0.08,3.64
4/26/2025,Level 2,11,94.66,27.53,34,77,Grid,10,38.04,339.13,22.61,0.04,1.75
4/27/2025,Level 2,33,288.7,20.84,30,95,Grid,28,145.2,1336.84,89.12,0.15,6.67
4/28/2025,Level 2,18,191.91,15.73,27,95,Grid,11,123.45,648.2,43.21,0.12,5.67
4/29/2025,Level 2,13,98.15,31.33,59,76,Grid,29,46.21,357.01,23.8,0.05,2.12
4/30/2025,Portable Gen,27,399.22,47.65,37,61,Solar,79,250.13,1843.25,122.88,0.25,11.49
5/1/2025,DC Fast,9,132.6,49.18,49,51,Grid,15,71.39,489.5,32.63,0.07,3.28
5/2/2025,Level 2,48,605.62,20.66,23,71,Grid,30,305.56,1909.28,127.29,0.31,14.04
5/3/2025,Level 2,50,514.4,22.82,32,84,Grid,21,284.76,2007.07,133.8,0.28,13.08
5/4/2025,Wall Box,37,334.8,19.57,57,74,Grid,1,209.2,1201.84,80.12,0.21,9.61
5/5/2025,DC Fast,9,88.5,20.45,36,92,Grid,5,57.06,308.49,20.57,0.06,2.62
5/6/2025,Level 2,14,156.36,29.79,35,52,Grid,7,81.94,518.36,34.56,0.08,3.76
